Variable,Type,Catégorie,N_Missing,Pct_Missing
Fonction,EXTRAITE,🏷️ IDENTIFICATION,0,0.0
Annee,EXTRAITE,🏷️ IDENTIFICATION,0,0.0
Budget_Depense_Courante,EXTRAITE,💰 FISCALES PRIMAIRES — BCC PDFs,67,8.5
Execution_Depense_Courante,EXTRAITE,💰 FISCALES PRIMAIRES — BCC PDFs,66,8.4
Budget_Depense_Capital,EXTRAITE,💰 FISCALES PRIMAIRES — BCC PDFs,146,18.6
Execution_Depense_Capital,EXTRAITE,💰 FISCALES PRIMAIRES — BCC PDFs,318,40.6
PIB_PAR_HABITANT_USD,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,0,0.0
CROISSANCE_PIB_PCT,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,0,0.0
INFLATION_CPI_PCT,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,196,25.0
TAUX_CHANGE_CDF_USD,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,0,0.0
RECETTES_ETAT_PCT_PIB,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,0,0.0
RENTE_RESSOURCES_PCT_PIB,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,56,7.1
AIDE_ODA_USD,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,0,0.0
WGI_EFFICACITE_GOUV,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,84,10.7
WGI_CONTROLE_CORRUPTION,EXTRAITE,🌍 MACROÉCONOMIQUES — APIs IMF/WB,84,10.7
SOLDE_BUDGETAIRE_PCT_PIB,EXTRAITE,💼 AUTRES FISCALES — IMF API,0,0.0
DETTE_PUBLIQUE_PCT_PIB,EXTRAITE,💼 AUTRES FISCALES — IMF API,112,14.3
TAUX_EXEC_COURANT,DÉRIVÉE,📈 TAUX D'EXÉCUTION — Calculés,103,13.1
TAUX_EXEC_CAPITAL,DÉRIVÉE,📈 TAUX D'EXÉCUTION — Calculés,339,43.2
TAUX_EXEC_COURANT_LAG1,DÉRIVÉE,⏮️ LAGS TAUX EXÉCUTION — Décalés t-1,128,16.3
TAUX_EXEC_CAPITAL_LAG1,DÉRIVÉE,⏮️ LAGS TAUX EXÉCUTION — Décalés t-1,365,46.6
ANNEE_ELECTORALE,DÉRIVÉE,🗳️ INDICATEUR POLITIQUE — Manuel,0,0.0
